ORD;REGION;PROV;COMUNA;UNIDAD_EDUCATIVA;RAMA_EDUCACIONAL;DEP;L_M_N;L_M_PROMEDIO;L_M_MAXIMO;L_M_MINIMO;L_N;L_PROMEDIO;L_MAXIMO;L_MINIMO;M_N;M_PROMEDIO;M_MAXIMO;M_MINIMO;H_CS_N;H_CS_PROMEDIO;H_CS_MAXIMO;H_CS_MINIMO;C_N;C_PROMEDIO;C_MAXIMO;C_MINIMO;NOTAS_N;NOTAS_PROMEDIO;NOTAS_MAXIMO;NOTAS_MINIMO;RANK_N;RANK_PROMEDIO;RANK_MAXIMO;RANK_MINIMO;RBD
31;1;IQUIQUE;IQUIQUE;COLEGIO ADVENTISTA DE IQUIQUE;HC - DIURNO;SUBVENC;37;473.11;626.5;341.0;37;466.84;646;289;37;479.38;651;282;14;445.21;579;326;32;460.22;587;285;37;561.86;756;439;37;589.68;850;439;133
32;1;IQUIQUE;IQUIQUE;COLEGIO ANTAMARA;HC - DIURNO;SUBVENC;43;459.58;592.0;257.5;43;469.07;653;237;43;450.09;545;226;17;495.94;669;264;28;436.86;580;261;45;561.40;742;393;45;579.91;847;393;12594
33;1;IQUIQUE;IQUIQUE;COLEGIO DIOCESANO OBISPO LABBE;HC - DIURNO;SUBVENC;58;494.50;667.5;315.5;58;490.60;695;257;58;498.40;675;306;33;479.73;669;231;34;485.79;613;309;59;556.64;766;410;59;575.19;850;410;12518
34;1;IQUIQUE;IQUIQUE;COLEGIO HISPANO BRITANICO;HC - DIURNO;SUBVENC;70;639.39;755.0;531.0;70;628.56;797;484;70;650.23;834;531;30;599.70;794;479;49;612.06;799;450;70;633.11;787;482;70;642.89;829;482;12669
35;1;IQUIQUE;IQUIQUE;COLEGIO HISPANO ITALIANO;HC - DIURNO;SUBVENC;23;503.00;608.5;328.5;23;487.17;606;352;23;518.83;620;259;20;474.95;595;374;15;461.33;571;309;24;610.58;795;425;24;638.42;850;425;12590
36;1;IQUIQUE;IQUIQUE;COLEGIO HUMBERSTONE;HC - DIURNO;SUBVENC;85;550.26;767.5;377.0;85;530.48;797;274;85;570.04;850;409;38;531.21;751;359;46;568.96;778;309;85;592.82;797;414;85;610.25;850;414;12667
37;1;IQUIQUE;IQUIQUE;COLEGIO LATINOAMERICANO LAS PARINAS;HC - DIURNO;SUBVENC;20;438.68;643.5;266.5;20;443.35;716;274;20;434.00;571;259;11;409.55;525;231;11;428.91;549;328;21;530.71;814;328;21;575.52;850;328;12741
38;1;IQUIQUE;IQUIQUE;COLEGIO MAHATMA GANDHI;HC - DIURNO;SUBVENC;78;460.75;592.5;297.5;78;459.14;618;242;78;462.36;611;306;39;463.87;664;286;47;452.51;576;261;82;499.27;702;326;82;536.5;850;326;40295
39;1;IQUIQUE;IQUIQUE;COLEGIO MARIA REINA;HC - DIURNO;SUBVENC;56;481.45;595.0;341.0;56;485.52;618;329;56;477.38;589;353;25;495.56;646;399;45;463.64;587;224;56;510.18;678;395;56;538.7;831;395;12573
40;1;IQUIQUE;IQUIQUE;COLEGIO ÑUSTA KORI;HC - DIURNO;SUBVENC;36;462.85;561.0;334.5;36;468.22;613;231;36;457.47;574;282;24;466.33;607;359;16;469.38;571;351;38;454.29;729;348;38;473.29;850;348;12515
41;1;IQUIQUE;IQUIQUE;COLEGIO SAINT MARGARETH ROSE;HC - DIURNO;SUBVENC;22;491.07;648.5;351.5;22;487.05;677;289;22;495.09;620;259;17;466.00;553;343;13;499.62;591;309;25;512.20;690;391;25;530.44;795;391;10901
42;1;IQUIQUE;IQUIQUE;COLEGIO SALESIANO IQUIQUE;HC - DIURNO;SUBVENC;53;524.07;758.5;309.5;53;509.23;749;289;53;538.91;768;330;23;531.70;717;374;36;473.75;677;230;55;523.02;748;406;55;530.2;803;406;12672
43;1;IQUIQUE;IQUIQUE;COLEGIO UNIVERSITARIO UNAP;HC - DIURNO;SUBVENC;64;504.83;702.0;313.5;64;503.48;775;274;64;506.17;719;282;25;502.52;691;343;44;488.91;693;285;68;525.10;750;352;68;540.63;841;352;12735
44;1;IQUIQUE;IQUIQUE;CORONA SCHOOL;HC - DIURNO;SUBVENC;44;467.80;601.0;334.0;44;475.32;633;362;44;460.27;601;306;18;468.78;616;326;30;465.27;576;375;47;526.85;744;369;47;536.19;801;369;12604
45;1;IQUIQUE;IQUIQUE;IQRA ARABIAN BRITISH SCHOOL;HC - DIURNO;SUBVENC;14;477.07;629.0;369.0;14;475.57;618;329;14;478.57;640;374;7;464.29;620;374;11;464.55;571;351;13;536.85;667;418;13;540;684;418;12762
46;1;IQUIQUE;IQUIQUE;IQUIQUE YOUNG SCHOOL;HC - DIURNO;SUBVENC;16;450.34;560.5;357.0;16;471.25;601;340;16;429.44;549;330;10;469.60;595;326;9;462.22;545;375;17;525.12;752;435;17;539.29;850;435;144
47;1;IQUIQUE;IQUIQUE;LICEO ACADEMIA IQUIQUE;HC - DIURNO;SUBVENC;175;595.21;815.5;438.5;175;589.63;797;362;175;600.80;834;438;77;589.94;766;374;113;591.65;809;309;176;645.72;803;459;176;653.55;850;459;132
48;1;IQUIQUE;IQUIQUE;LICEO CIENTIFICO HUMANISTICO ATENEA;HC - DIURNO;SUBVENC;15;423.50;555.5;290.0;15;428.27;554;274;15;418.73;557;306;7;442.71;562;286;6;447.83;517;328;15;481.27;577;371;15;488.73;608;371;134
49;1;IQUIQUE;IQUIQUE;LICEO MARIA AUXILIADORA;HC - DIURNO;SUBVENC;60;557.25;740.5;403.5;60;553.45;775;329;60;561.05;706;353;22;516.59;664;387;46;536.85;703;375;60;573.05;793;423;60;590.87;850;423;127
50;1;IQUIQUE;IQUIQUE;LICEO PARTICULAR MIXTO ESCASCE;HC - DIURNO;SUBVENC;28;455.66;599.0;333.0;28;475.04;601;340;28;436.29;597;259;18;465.72;553;307;14;434.29;580;309;30;467.73;605;361;30;479.53;673;361;131
51;1;IQUIQUE;IQUIQUE;LICEO PRESIDENTE ANIBAL PINTO GARMENDIA ;HC - DIURNO;SUBVENC;52;521.20;672.5;368.0;52;512.12;705;274;52;530.29;713;374;25;509.56;685;307;43;512.02;616;328;54;555.89;781;387;54;573.48;850;387;12509
52;1;IQUIQUE;IQUIQUE;LICEO SAMCA ARUMANTI;HC - DIURNO;SUBVENC;61;532.51;641.5;362.5;61;515.97;653;289;61;549.05;656;353;31;485.45;591;231;41;522.93;647;407;62;553.29;773;416;62;568.87;850;416;12591
53;1;IQUIQUE;IQUIQUE;LITTLE COLLEGE;HC - DIURNO;SUBVENC;27;481.43;565.5;391.0;27;488.15;639;362;27;474.70;582;353;12;508.42;646;286;21;465.14;587;309;27;543.48;713;408;27;559.33;812;408;12504
54;1;IQUIQUE;IQUIQUE;NORTH COLLEGE;HC - DIURNO;SUBVENC;21;545.88;643.5;399.0;21;526.29;653;389;21;565.48;675;409;8;490.25;583;374;16;534.75;714;285;21;528.29;692;379;21;551.38;783;379;130
55;1;IQUIQUE;ALTO HOSPICIO;LICEO LOS CONDORES;HC - DIURNO;SUBVENC;24;489.42;584.5;349.0;24;485.54;639;305;24;493.29;589;393;12;475.33;646;420;17;467.94;563;375;27;576.74;762;367;27;588.78;812;367;12603
56;1;IQUIQUE;ALTO HOSPICIO;LICEO PABLO NERUDA;HC - DIURNO;SUBVENC;11;400.00;499.5;290.0;11;400.55;554;231;11;399.45;496;282;5;429.60;553;326;4;356.25;437;285;20;469.05;515;414;20;469.05;515;414;12719
57;1;IQUIQUE;ALTO HOSPICIO;LICEO POLIVALENTE SAGRADO CORAZON DE HOSPICIO;HC - DIURNO;SUBVENC;107;544.28;670.0;423.5;107;537.02;695;381;107;551.54;701;425;76;531.43;780;387;83;507.25;626;285;108;582.89;789;453;108;599.04;850;453;12650
58;1;IQUIQUE;ALTO HOSPICIO;LICEO SUPERIOR DIEGO PORTALES;HC - DIURNO;SUBVENC;42;402.57;582.5;274.0;42;402.05;639;257;42;403.10;611;219;37;415.19;612;243;8;400.75;481;285;57;469.70;748;350;57;488.75;850;350;12649
59;1;TAMARUGAL;POZO ALMONTE;LICEO ALCALDE SERGIO GONZALEZ GUTIERREZ C-12;HC - DIURNO;MUNICIPAL;11;478.95;591.5;361.0;11;494.55;589;329;11;463.36;607;330;7;520.29;595;410;6;482.17;545;375;11;594.36;748;455;11;613.91;850;455;191
60;1;TAMARUGAL;PICA;LICEO PADRE ALBERTO HURTADO CRUCHAGA;HC - DIURNO;MUNICIPAL;14;455.00;628.5;266.0;14;454.36;633;226;14;455.64;624;282;10;482.70;603;387;9;466.11;598;309;16;550.63;711;425;16;564;806;425;12551
61;2;TOCOPILLA;TOCOPILLA;LICEO DOMINGO LATRILLE L.;HC - DIURNO;MUNICIPAL;44;397.10;616.5;254.0;44;370.75;582;226;44;423.45;651;282;25;399.72;603;264;21;429.00;609;261;50;510.60;766;369;50;518.42;842;369;199
62;2;TOCOPILLA;TOCOPILLA;COLEGIO SAGRADA FAMILIA;HC - DIURNO;SUBVENC;91;515.49;686.5;369.5;91;499.00;725;289;91;531.99;727;393;42;506.45;726;359;64;493.16;690;375;93;551.86;748;402;93;568.43;823;402;208
63;2;TOCOPILLA;MARIA ELENA;LICEO TEC. PROF. CIENT. HUM. MARIA ELENA;HC - DIURNO;MUNICIPAL;15;537.07;683.5;423.5;15;541.80;716;422;15;532.33;651;409;14;494.64;607;374;13;518.92;682;351;15;662.53;799;492;15;695.4;850;492;211
64;2;EL LOA;CALAMA;LICEO B-34 RADOMIRO TOMIC ROMERO;HC - DIURNO;MUNICIPAL;9;396.67;573.0;313.5;9;379.67;589;215;9;413.67;557;306;6;438.33;583;307;5;415.80;563;261;21;470.33;649;356;21;516.14;850;356;12961
65;2;EL LOA;CALAMA;LICEO ELEUTERIO RAMIREZ MOLINA;HC - DIURNO;MUNICIPAL;14;406.43;504.0;275.5;14;437.50;549;242;14;375.36;471;234;10;437.70;562;264;6;406.17;481;285;19;425.95;521;358;19;466.79;669;358;10967
66;2;EL LOA;CALAMA;LICEO FRANCISCO DE AGUIRRE (EX.B-8);HC - DIURNO;MUNICIPAL;86;406.48;516.5;220.5;86;411.78;560;215;86;401.19;564;226;50;416.34;562;231;42;388.81;529;214;104;475.83;690;356;104;498.56;818;356;218
67;2;EL LOA;CALAMA;LICEO JORGE ALESSANDRI RODRIGUEZ;HC - DIURNO;MUNICIPAL;69;438.11;599.5;268.5;69;439.26;639;231;69;436.96;601;234;48;450.81;616;243;48;426.79;563;261;74;470.04;760;328;74;489.42;850;328;10970
68;2;EL LOA;CALAMA;LICEO LUIS CRUZ MARTINEZ;HC - DIURNO;MUNICIPAL;233;556.10;735.0;343.5;233;542.44;749;226;233;569.75;817;330;91;544.07;794;343;178;536.74;778;309;238;537.62;768;379;238;561.51;850;379;217
69;2;EL LOA;CALAMA;COLEGIO CHUQUICAMATA;HC - DIURNO;PAGADO;98;570.21;726.5;362.0;98;558.34;725;274;98;582.09;834;374;51;564.22;766;359;74;557.24;690;375;98;581.32;811;402;98;588.5;850;402;257
70;2;EL LOA;CALAMA;COLEGIO LEONARDO DA  VINCI;HC - DIURNO;PAGADO;25;622.14;789.5;511.5;25;611.76;762;503;25;632.52;817;520;10;634.60;751;539;16;625.19;799;517;25;584.60;803;449;25;591.68;850;449;12829
71;2;EL LOA;CALAMA;COLEGIO LICANCABUR;HC - DIURNO;PAGADO;10;492.45;568.5;384.0;10;509.10;613;438;10;475.80;597;330;5;532.80;620;399;8;515.25;619;392;10;568.60;723;457;10;596.9;840;457;12867
72;2;EL LOA;CALAMA;COLEGIO PARTICULAR SAN IGNACIO;HC - DIURNO;PAGADO;13;609.27;668.0;503.5;13;591.85;685;471;13;626.69;713;526;4;622.50;710;519;10;609.10;697;545;14;612.79;706;451;14;649.79;787;451;12832
73;2;EL LOA;CALAMA;LOESS SCHOOL;HC - DIURNO;PAGADO;13;569.81;692.0;391.5;13;598.54;725;381;13;541.08;668;306;9;527.00;794;307;11;547.82;669;392;13;599.46;732;464;13;623.62;821;464;12876
74;2;EL LOA;CALAMA;COLEGIO ADVENTISTA DE CALAMA;HC - DIURNO;SUBVENC;61;442.93;570.5;297.5;61;433.66;613;289;61;452.20;627;306;35;431.37;549;286;33;444.48;567;261;66;541.00;748;377;66;552.48;824;377;253
75;2;EL LOA;CALAMA;COLEGIO CALAMA;HC - DIURNO;SUBVENC;25;421.62;607.5;320.0;25;442.28;695;329;25;400.96;557;234;23;453.00;674;243;17;417.59;584;261;28;490.32;641;354;28;502.61;768;354;12823
76;2;EL LOA;CALAMA;COLEGIO ECOLOGICO MONTESSORI;HC - DIURNO;SUBVENC;33;493.68;634.5;368.5;33;498.15;613;372;33;489.21;668;306;16;515.31;659;326;24;484.13;584;285;33;539.48;700;404;33;561.06;778;404;12838
77;2;EL LOA;CALAMA;COLEGIO JUAN PABLO II;HC - DIURNO;SUBVENC;87;547.61;682.0;375.5;87;545.78;725;362;87;549.45;727;353;54;551.59;780;410;60;534.10;686;351;87;549.22;758;425;87;568.84;850;425;10962
78;2;EL LOA;CALAMA;COLEGIO NUESTRA SEÑORA DE AYQUINA;HC - DIURNO;SUBVENC;59;516.96;664.0;368.0;59;529.97;749;362;59;503.95;675;234;25;581.32;710;479;40;502.40;609;309;60;585.55;770;449;60;598.82;834;449;254
79;2;EL LOA;CALAMA;COLEGIO PADRE ALBERTO HURTADO;HC - DIURNO;SUBVENC;36;530.36;673.0;377.5;36;523.11;677;381;36;537.61;713;374;17;558.53;726;326;22;524.14;682;351;38;500.11;725;387;38;505.34;783;387;12851
80;2;EL LOA;CALAMA;COLEGIO PART. EJERCITO DE SALVACION;HC - DIURNO;SUBVENC;39;479.73;605.5;347.5;39;488.26;594;381;39;471.21;617;306;21;539.33;628;430;24;487.46;619;309;40;517.28;738;393;40;554;850;393;255
81;2;EL LOA;CALAMA;COLEGIO SAN NICOLAS;HC - DIURNO;SUBVENC;46;557.01;637.5;422.5;46;552.00;669;444;46;562.02;681;393;25;559.04;680;387;33;592.42;708;490;46;539.39;734;418;46;553.76;825;418;12853
82;2;EL LOA;CALAMA;INSTITUTO OBISPO SILVA LEZAETA;HC - DIURNO;SUBVENC;91;542.02;752.0;411.5;91;536.49;736;352;91;547.55;768;374;39;554.05;743;387;67;507.99;724;328;88;532.60;795;348;88;545.05;850;348;256
83;2;EL LOA;SAN PEDRO DE ATACAMA;LICEO AGROPECUARIO LIKAN ANTAI C-30;HC - DIURNO;MUNICIPAL;4;446.88;493.5;397.0;4;455.75;496;372;4;438.00;496;330;4;415.00;514;237;1;351.00;351;351;5;460.80;528;393;5;460.8;528;393;12842
84;2;ANTOFAGASTA;ANTOFAGASTA;LICEO ANDRES SABELLA;HC - DIURNO;MUNICIPAL;135;494.85;686.5;299.5;135;481.61;677;257;135;508.10;751;259;39;445.85;735;286;112;476.54;672;285;136;608.74;811;425;136;619.33;850;425;304
85;2;ANTOFAGASTA;ANTOFAGASTA;LICEO B-13 DOMINGO HERRERA RIVERA;HC - DIURNO;MUNICIPAL;194;473.79;678.0;292.0;194;476.54;725;231;194;471.04;706;226;74;476.27;603;264;142;474.94;737;235;204;560.25;797;391;204;576.56;850;391;287
86;2;ANTOFAGASTA;ANTOFAGASTA;LICEO CIENTIFICO HUMANISTA LA CHIMBA;HC - DIURNO;MUNICIPAL;49;459.86;596.5;262.0;49;469.94;633;242;49;449.78;582;259;30;488.57;650;286;20;440.70;567;261;54;526.91;725;391;54;531.17;752;391;31343
87;2;ANTOFAGASTA;ANTOFAGASTA;LICEO LA PORTADA A-22;HC - DIURNO;MUNICIPAL;12;409.92;519.5;246.0;12;413.08;549;210;12;406.75;568;259;4;447.25;525;374;10;366.30;539;224;19;491.21;672;399;19;546.53;850;399;286
88;2;ANTOFAGASTA;ANTOFAGASTA;LICEO MARIO BAHAMONDE SILVA;HC - DIURNO;MUNICIPAL;69;417.28;595.5;280.5;69;425.33;613;231;69;409.23;624;211;34;428.71;579;286;52;405.56;534;224;95;474.12;717;344;95;492.35;850;344;284
89;2;ANTOFAGASTA;ANTOFAGASTA;LICEO MARTA NAREA DIAZ;HC - DIURNO;MUNICIPAL;69;438.64;587.0;305.0;69;448.19;653;257;69;429.10;568;259;29;451.90;591;231;49;437.04;576;230;82;482.99;711;363;82;498.34;819;363;285
90;2;ANTOFAGASTA;ANTOFAGASTA;LICEO MAYOR GENERAL OSCAR BONILLA BRAD.;HC - DIURNO;MUNICIPAL;11;430.64;575.0;297.0;11;427.09;601;220;11;434.18;579;226;7;457.86;591;307;5;380.40;472;235;14;453.43;523;387;14;469.64;589;387;10968
91;2;ANTOFAGASTA;ANTOFAGASTA;COLEGIO CHAÑARES;HC - DIURNO;PAGADO;34;546.15;683.5;377.5;34;546.91;677;362;34;545.38;701;393;24;528.33;659;387;18;506.17;633;351;35;525.86;727;406;35;541.23;850;406;12846
92;2;ANTOFAGASTA;ANTOFAGASTA;COLEGIO INTERNACIONAL ANTOFAGASTA;HC - DIURNO;PAGADO;27;659.89;783.0;581.0;27;651.85;749;503;27;667.93;850;531;10;679.20;794;558;17;684.24;799;619;27;653.30;789;523;27;685.96;850;523;12884
93;2;ANTOFAGASTA;ANTOFAGASTA;COLEGIO PARTICULAR ANTOFAGASTA;HC - DIURNO;PAGADO;42;537.00;690.0;411.5;42;528.81;736;352;42;545.19;695;425;26;516.65;680;343;25;497.56;644;392;42;557.45;760;393;42;590.14;850;393;364
94;2;ANTOFAGASTA;ANTOFAGASTA;COLEGIO SAN LUIS ANTOFAGASTA;HC - DIURNO;PAGADO;67;624.63;745.0;471.0;67;608.87;762;416;67;640.40;768;480;17;656.29;836;503;57;601.84;778;490;67;588.45;783;459;67;595.75;839;459;357
95;2;ANTOFAGASTA;ANTOFAGASTA;COLEGIO SAN PATRICIO;HC - DIURNO;PAGADO;23;547.50;654.0;444.5;23;555.87;661;452;23;539.13;675;425;8;547.88;620;485;19;522.68;653;407;23;595.83;760;449;23;616.3;850;449;12966
96;2;ANTOFAGASTA;ANTOFAGASTA;COLEGIO UNIVERSITARIO ANTONIO RENDIC;HC - DIURNO;PAGADO;44;636.67;728.5;480.0;44;623.98;786;389;44;649.36;768;545;16;627.25;751;430;32;656.00;778;450;44;595.05;754;437;44;608.48;818;437;12864
97;2;ANTOFAGASTA;ANTOFAGASTA;HRVATSKA SKOLA SAN ESTEBAN (EX.COL.YUGOSLAVO);HC - DIURNO;PAGADO;79;657.11;776.5;567.5;79;647.84;829;531;79;666.38;834;536;26;665.15;836;549;62;664.44;778;545;79;616.01;791;453;79;625.29;837;453;366
98;2;ANTOFAGASTA;ANTOFAGASTA;INSTITUTO CHILENO NORTEAMERICANO;HC - DIURNO;PAGADO;57;510.69;634.5;271.5;57;496.98;653;317;57;524.40;651;226;29;512.31;696;237;38;506.71;690;392;57;501.32;694;365;57;521.05;799;365;355
99;2;ANTOFAGASTA;ANTOFAGASTA;INSTITUTO SANTA MARIA;HC - DIURNO;PAGADO;42;550.54;750.0;386.0;42;551.21;749;398;42;549.86;751;330;11;516.73;624;374;34;554.41;751;437;42;588.60;807;433;42;602.43;850;433;358
100;2;ANTOFAGASTA;ANTOFAGASTA;THE ANTOFAGASTA BRITISH SCHOOL;HC - DIURNO;PAGADO;59;633.19;779.0;439.0;59;605.95;818;352;59;660.44;817;496;21;577.38;743;399;43;652.30;799;517;59;630.56;801;441;59;639.64;850;441;361
